张 B-LPER
某 I-LPER
（ O
深 B-LORG
圳 I-LORG
捷 I-LORG
通 I-LORG
物 I-LORG
流 I-LORG
公 I-LORG
司 I-LORG
） O
驾 O
驶 O
超 O
载 O
货 O
车 O
， O
撞 O
伤 O
王 B-PPER
某 I-PPER
， O
造 O
成 O
经 B-PLOSS
济 I-PLOSS
损 I-PLOSS
失 I-PLOSS
2 I-PLOSS
0 I-PLOSS
万 I-PLOSS
元 I-PLOSS
。 O

王 B-LPER
某 I-LPER
（ O
南 B-LORG
京 I-LORG
宏 I-LORG
达 I-LORG
建 I-LORG
工 I-LORG
集 I-LORG
团 I-LORG
） O
未 O
固 O
定 O
脚 O
手 O
架 O
， O
工 O
人 O
张 B-PPER
某 I-PPER
坠 O
落 O
重 O
伤 O
。 O

2 B-DATE
0 I-DATE
2 I-DATE
3 I-DATE
年 I-DATE
6 I-DATE
月 I-DATE
1 I-DATE
5 I-DATE
日 I-DATE
， O
北 B-LORG
京 I-LORG
城 I-LORG
建 I-LORG
集 I-LORG
团 I-LORG
工 O
地 O
发 O
生 O
坍 O
塌 O
， O
张 B-LPER
某 I-LPER
（ O
施 O
事 O
人 O
员 O
） O
违 O
规 O
拆 O
除 O
支 O
撑 O
架 O
， O
导 O
致 O
李 B-PPER
某 I-PPER
（ O
涉 O
事 O
人 O
员 O
） O
被 O
埋 O
， O
消 O
防 O
员 O
王 B-OPER
某 I-OPER
手 O
臂 O
擦 O
伤 O
， O
直 O
接 O
经 B-PLOSS
济 I-PLOSS
损 I-PLOSS
失 I-PLOSS
2 I-PLOSS
0 I-PLOSS
0 I-PLOSS
万 I-PLOSS
元 I-PLOSS
， O
3 B-CLOSS
人 I-CLOSS
受 I-CLOSS
伤 I-CLOSS
。 O

2 B-DATE
0 I-DATE
2 I-DATE
3 I-DATE
年 I-DATE
6 I-DATE
月 I-DATE
1 I-DATE
5 I-DATE
日 I-DATE
， O
北 B-LORG
京 I-LORG
城 I-LORG
建 I-LORG
集 I-LORG
团 I-LORG
工 O
地 O
发 O
生 O
坍 O
塌 O
， O
张 B-LPER
某 I-LPER
违 O
规 O
拆 O
除 O
支 O
撑 O
架 O
， O
李 B-PPER
某 I-PPER
被 O
埋 O
， O
王 B-PPER
某 I-PPER
手 O
臂 O
擦 O
伤 O
， O
经 B-PLOSS
济 I-PLOSS
损 I-PLOSS
失 I-PLOSS
2 I-PLOSS
